slot,count_cg,label_petir,t_500,t_700,t_850,z_1000,r_500,r_700,r_850,w_700,cape,msl,tcc,d2m,tcrw,u500,u850,v500,v850,sp,u10,v10,t2m
2022-01-01 00:00:00,0,0,267.71204,281.41043,290.93558,930.15576,69.35368,91.87979,80.21599,-0.040070534,161.625,101087.31,1,296.38483,0.00012207031,11.152603,6.1613007,-0.44822693,4.367386,100663.06,2.673935,1.0672455,299.07068
2022-01-01 03:00:00,0,0,267.62512,281.7787,290.8079,1023.79517,74.46022,86.42946,81.05565,0.211936,507.875,101189.69,1,296.46774,0.0007324219,11.078369,6.48555,-0.48654175,4.4298152875,100766.19,3.531845,0.52622986,302.3447
2022-01-01 06:00:00,0,0,268.06577,282.77475,291.29355,842.72754,74.268524,68.49396,74.957855,-0.2850628,1260.609375,100973.25,1,295.76794,0.00024414062,11.347305,6.196991,1.0967102,4.4298152875,100550.875,3.71487045625,0.07305908,304.3607
2022-01-01 09:00:00,0,0,268.072,283.37042,291.51553,668.782,71.04465,55.093124,77.09827,0.06309891,499.25,100778.375,0.9970398,296.08728,0.00024414062,11.320618,8.059036,2.2892303,4.4298152875,100356.19,3.71487045625,1.6352997,303.8268
2022-01-01 12:00:00,0,0,267.9552,283.51477,292.2281,821.2639,68.23584,50.42984,66.9897,-0.079639435,179.5,100953.94,1,296.5332,0,12.21579555,5.884674,0.35849,4.4298152875,100530.81,3.3848114,1.292511,300.78772
2022-01-01 15:00:00,0,0,268.4022,282.72458,291.76233,960.0012,54.65828,51.551437,70.12663,-0.11059952,159.5,101117.625,1,296.41705,0,12.21579555,4.0281067,3.8410034,4.4298152875,100694,2.556427,0.8024597,299.48102
2022-01-01 18:00:00,0,0,268.70386,282.3093,291.46503,862.4949,38.212936,51.60858,72.16991,0.0582695,291.125,101006.875,1,296.22485,0,12.21579555,3.931305,4.3984833,4.4298152875,100583.06,2.0704498,1.1022186,298.669
2022-01-01 21:00:00,0,0,269.171,282.67413,291.03726,791.27124,31.642914,42.85756,76.02814,0.20631695,338.25,100925.5,1,296.17786,0,11.055908,4.183502,1.7712097,4.2890167,100501.81,2.263382,0.8388672,297.96246
2022-01-02 00:00:00,0,0,269.32367,282.98856,291.47614,888.2549,36.34079,37.269363,67.20213,0.10679245,101.375,101039.31,1,296.57526,0,12.015259,2.9815674,-0.049331665,4.2738495,100614.75,2.4182434,1.243866,298.56415
2022-01-02 03:00:00,0,0,269.05743,283.04706,291.22397,968.7019,29.932083,36.702988,72.804596,-0.032930374,299.25,101125.875,0.997406,296.82037,0.00036621094,11.398727,3.1217346,0.25932312,3.8901062,100703,2.4134827,0.69721985,302.5906
2022-01-02 06:00:00,0,0,268.6577,282.36288,291.17966,798.1638,19.345734,56.55107,83.67136,-0.0028076172,778.5,100926.31,0.997406,297.28607,0.005859375,10.60849,3.2126465,1.8212738,3.162033,100504.375,3.4019012,-0.30836487,303.9505
2022-01-02 09:00:00,0,0,269.00446,282.80734,291.80737,627.60425,9.524607,53.577866,75.70505,0.101389885,516.875,100728.25,0.9414978,296.89313,0.00012207031,9.546692,3.9722443,2.9123993,3.8744812,100307.81,3.5363617,1.2950897,302.8114
2022-01-02 12:00:00,0,0,268.6251,283.20566,291.9027,765.553,18.396769,34.66455,73.491806,0.26404095,380.25,100890.875,0.87286377,296.2744,0.00012207031,10.902557,1.8821716,3.452652,4.4298152875,100469.44,2.745697,0.2068634,300.48016
2022-01-02 15:00:00,0,0,268.84192,282.93677,291.9887,955.10986,13.976068,32.7437,64.87364,-0.022411346,169.25,101113.5,0.4697876,296.0553,0,8.494339,1.8648224,3.6583862,2.684555,100689.375,2.627655,1.2665558,298.69897
2022-01-02 18:00:00,0,0,269.48282,282.72476,292.0446,845.34595,4.7814636,32.68091,57.85737,-0.038028717,105.75,100988.25,0.5400696,295.79663,0,7.60495,2.4176788,2.8525543,2.1831207,100564.31,1.9498138,1.5987244,297.56116
2022-01-02 21:00:00,0,0,269.77838,282.3646,291.8563,751.28735,5.910247,35.182175,57.85737,0.0020637512,146.375,100879.5,0.85110474,295.37024,0,7.6606293,3.1256104,2.1327362,1.6047058,100455.81,1.1897125,1.4788055,296.7135
2022-01-03 00:00:00,0,0,269.54608,282.20767,291.52127,918.6863,13.001158,37.4834,57.85737,0.083909035,105.25,101076.125,0.09686279,295.32928,0,5.973984,1.0154724,2.28508,1.9926147,100651.06,0.47135925,1.305069,297.32593
2022-01-03 03:00:00,0,0,269.63214,282.34167,291.6521,933.42896,12.895943,37.79326,57.85737,0.043660164,46.875,101083.81,0.27233887,295.4906,0,4.7085266,1.5505219,2.05896,2.0602875,100660.94,1.0915985,0.29335022,303.1759
2022-01-03 06:00:00,0,0,269.36206,282.1967,292.08517,768.8601,10.671671,60.279266,59.1996,-0.059453964,2.875,100890.375,0.45303345,294.41516,0.0048828125,5.2553406,1.7633362,2.56073,3.2173004,100469.5,1.0609894,-0.26707458,305.5578
2022-01-03 09:00:00,2,1,269.4742,282.47125,291.42993,596.96265,10.212449,62.36435,78.99074,0.34980392,0,100690.19,0.31448364,295.083,0.00024414062,6.55571,1.100647,1.6587677,3.6950836,100270.81,0.9814148,-0.028564453,304.97144
2022-01-03 12:00:00,0,0,269.02426,282.76813,291.48416,788.9519,15.825343,54.37599,81.74448,-0.003920555,35,100915.625,0.9703369,295.9367,0,6.677353,-0.6405182,0.39927673,3.7801208,100494.31,0.5230408,-0.24327087,301.68
2022-01-03 15:00:00,0,0,269.42484,282.5502,291.39136,903.9663,27.57483,58.110336,80.807495,-0.13366032,319.5,101052.625,0.9829407,295.9416,0,8.940063,-1.161087,-0.9618225,3.1441498,100630.19,-0.024368286,1.2271271,299.50153
2022-01-03 18:00:00,0,0,268.40363,282.74002,291.7774,846.4717,45.212708,59.024292,66.73804,0.004699707,365.25,100990.125,1,295.42175,0,8.170715,0.9880066,-0.12789917,1.3596954,100566.44,0.64276123,1.4599304,297.36987
2022-01-03 21:00:00,0,0,268.18478,282.52048,291.30017,824.8694,54.82245,55.01068,72.31142,-0.083125114,214.75,100966.25,1,294.932,0,8.88884,1.2952728,0.6732025,0.8197174,100542.375,0.19960022,1.8383026,296.4917
2022-01-04 00:00:00,0,0,268.32724,282.18097,291.10632,965.2905,34.69693,60.770813,70.11876,-0.16946793,76.125,101132.125,0.9319153,295.03278,0,10.470139,1.5375214,1.2843475,0.05847168,100707.625,0.14920044,1.7698517,296.8263
2022-01-04 03:00:00,0,0,268.40372,281.7383,291.6045,1038.6184,28.423996,56.273285,57.85737,-0.14176369,121.75,101206.25,0.8331909,295.63922,0.001953125,10.7332,1.3391571,2.1308746,-0.05064392,100782.56,-0.50512695,-0.18972778,302.97385
2022-01-04 06:00:00,0,0,268.50534,282.19846,291.52615,903.69336,36.194458,53.55249,59.37152,0.09090996,127.375,101042.5,0.94958496,295.33063,0.0007324219,9.639374,1.2905731,2.518982,0.325531,100620.875,0.24305725,-1.7641144,304.8885
2022-01-04 09:00:00,0,0,269.00226,282.88007,291.06152,699.282,39.743286,49.02478,66.380066,0.26988316,135.875,100810.625,0.5987854,295.42084,0,8.678452,2.0344238,3.5001526,2.4486084,100389.94,0.16564941,-2.3013458,304.32324
2022-01-04 12:00:00,0,0,268.24872,283.33957,291.2862,824.1636,59.55925,52.37491,69.065216,0.11023903,486.875,100956.19,1,296.8739,0,8.907364,1.1816559,3.8684998,2.1267242,100534.25,-1.1739349,-1.4474945,301.12042
2022-01-04 15:00:00,0,0,267.5794,283.09793,291.15863,983.69165,64.34804,55.446,76.84294,-0.13711643,930.75,101142.56,0.9251709,297.0313,0,7.9317017,0.23194885,2.061142,0.5235901,100718.125,-0.7888794,0.9753113,299.59375
2022-01-04 18:00:00,0,0,267.9913,283.3629,290.9464,921.7466,57.32605,55.541656,74.24544,0.33500862,891.875,101073.94,0.94851685,296.41632,0,5.5924835,1.4884949,1.8291473,-1.3946991,100649.875,0.04902649,1.3049774,298.22974
2022-01-04 21:00:00,0,0,267.92923,283.50012,290.6362,846.44995,57.739166,56.12799,66.07918,0.07390404,713,100989.375,0.12496948,295.8553,0,3.9308777,2.6304169,2.6673431,-1.9405823,100565.81,0.27096558,1.3795471,297.14502
2022-01-05 00:00:00,0,0,267.41388,283.8419,290.2481,950.84863,68.51941,53.317444,74.130905,0.0022335052,385.5,101111.375,0.09698486,296.3537,0,2.5935059,2.6595001,3.3555756,-1.4367523,100687.06,-0.17126465,1.3412018,298.18878
